seq_id,category,aa_type,n,system,n_samples,n_features,n_residues,PR,A_C,entropy,eff_rank_95,top5_ratio,spectral_decay,total_variance,kappa,spectral_gap,fisher_info,pseudo_volume,lambda_star,PR_lw,eff_rank_95_lw,spectral_decay_lw,top5_ratio_lw,n_zero_eigs_raw,bottom8_eig_ratio_max,bottom8_eig_ratio_min,mean_pairwise_dist,max_pairwise_dist,std_pairwise_dist,mean_rmsf,max_rmsf,std_rmsf,skewness,kurtosis,density,n_samples_first,n_features_first,n_residues_first,PR_first,A_C_first,entropy_first,eff_rank_95_first,top5_ratio_first,spectral_decay_first,total_variance_first,kappa_first,spectral_gap_first,fisher_info_first,pseudo_volume_first,lambda_star_first,PR_lw_first,eff_rank_95_lw_first,spectral_decay_lw_first,top5_ratio_lw_first,n_zero_eigs_raw_first,bottom8_eig_ratio_max_first,bottom8_eig_ratio_min_first,mean_pairwise_dist_first,max_pairwise_dist_first,std_pairwise_dist_first,mean_rmsf_first,max_rmsf_first,std_rmsf_first,skewness_first,kurtosis_first,density_first
DMS_UBE4B_WT,DMS_WT,protein,0,PolyX,500,207,69,15.011667754505618,0.054140579685016,3.203034391316037,35,0.4853059035646463,2.8199506360251427,66.4823275524061,1.0,1.3379672969204008,52004405308.42218,1363.769010086382,0.0381614528596401,16.131818771362305,59,1.5662566317088986,0.4677076935768127,6,9.161638049068132e-05,9.058668706949716e-15,11.195825576782228,20.23863410949707,2.158825397491455,0.964548408985138,1.6654412746429443,0.176723763346672,0.1619949250399687,0.5304592149895613,0.0,500,207,69,15.113904238704054,0.0491091034748426,3.197302553115173,34,0.4863299316065793,2.8291407427511035,68.7665674190524,1.0,1.2997389833011292,51970617775.45494,1775.8609352206083,0.0382677838206291,16.24435043334961,58,1.564990775458546,0.4686435163021087,6,9.110279094761064e-05,8.144578699335975e-15,11.421147346496582,20.245960235595703,2.197422504425049,0.9822196364402772,1.6279324293136597,0.1728238314390182,0.3965499203179609,0.6025078996026193,0.0
PolyX_E_n100,PolyX,E,100,PolyX,1000,300,100,3.3249475601325345,0.4359920682809137,2.0294560921867304,18,0.8080855131542508,2.883899038084155,125.91914983016062,1.0,4.925510363036393,41198233536.4665,3481.7514839017367,0.0241086687892675,3.489323377609253,26,1.423380397330254,0.7890055179595947,6,1.804575346972853e-06,3.7386770616252926e-14,13.266057014465332,36.960723876953125,8.41167163848877,1.0261138677597046,3.935486316680908,0.4527942836284637,0.3927690793218594,59.33810737860841,0.0,1000,300,100,3.3849786307288747,0.4309397943529187,2.0395959527268404,18,0.8112147068194183,2.888913346770267,127.48270991269229,1.0,4.877289271832701,41470670331.535484,3733.6251940608654,0.0241864211857318,3.552847623825073,26,1.4225512726953264,0.7919974327087402,6,1.7611089737333431e-06,3.819014541171831e-14,13.339155197143556,37.10802459716797,8.440113067626953,1.0330160856246948,3.951184511184693,0.4543457329273224,-0.4150360207827109,53.59140790688557,0.0
PolyX_E_n150,PolyX,E,150,PolyX,1000,450,150,2.836654030095986,0.5066376214307424,1.8378709755978149,16,0.8331588216414174,2.855951228306594,692.9809883286354,0.9999999999999998,4.26684595475034,37519441842.61691,11788517.450893275,0.0059097232297062,2.87026596069336,18,1.6956023492573482,0.8283006548881531,6,3.250675781425387e-07,3.1318807812421315e-14,34.62928009033203,102.2421417236328,17.36607551574707,2.0070550441741943,6.057761669158936,0.766148567199707,-0.0896944738286271,0.6697674346635815,0.0,1000,450,150,3.019836919048277,0.4573237540467415,1.8433851371696857,15,0.853162801658784,2.868282024347312,777.0349902352928,0.9999999999999998,3.995102346684987,39513621566.490944,19989296.46490105,0.006195253226906,3.0573477745056152,16,1.655930846383255,0.8479462265968323,6,3.185724661293668e-07,1.7152327280460123e-14,36.79633712768555,107.63720703125,17.842845916748047,2.104721784591675,5.881728649139404,0.8632494807243347,-0.1673894146393512,0.790885765372532,0.0
DMS_HRAS_WT,DMS_WT,protein,0,PolyX,500,567,189,30.938276409326868,0.0174366533424063,3.8929200505124064,62,0.3011288428116175,2.7723396335003736,236.6068940287652,1.0000000000000002,1.130428486368515,679999772600.6521,158502.80679603698,0.0715360715985298,35.57870864868164,206,1.3115111376898134,0.280218094587326,68,0.0,0.0,21.26824188232422,33.47967529296875,3.221773147583008,1.0761126279830933,1.751956343650818,0.3022682070732116,0.1356296011884028,-0.3952943141644875,0.0,500,567,189,27.790753139281893,0.0251038059902397,3.8277933076261457,60,0.3353902565306809,2.7297680975869474,257.8529083951699,1.0000000000000002,1.1331176738556143,679999676811.498,273999.71369392815,0.0639443099498748,31.49920654296875,177,1.3384647688665734,0.3145078718662262,68,0.0,0.0,22.38515853881836,35.20070266723633,3.613914012908936,1.1338300704956057,1.73240864276886,0.2756840884685516,0.207538101253386,-0.0228124908703054,0.0
PolyX_E_n55,PolyX,E,55,PolyX,1000,165,55,5.417061645154581,0.3254081419239242,2.628466687600973,29,0.6628068007674669,2.8592342158009827,41.24372313966376,1.0,4.948906205866098,49908965967.08924,33.82666391144692,0.0169277042150497,5.598838806152344,36,1.751246142351609,0.6520999670028687,6,7.791134176889303e-05,2.006989628290365e-14,7.907877445220947,18.49285697937012,3.478581190109253,0.8291434049606323,1.8221360445022583,0.2483084201812744,-1.1728490295722995,5.739078098380342,0.0,1000,165,55,5.464831608282562,0.3151120439541425,2.608125921664416,28,0.6727927598171828,2.8571491073281985,42.49160102613733,1.0,4.392078146823995,49362695688.84761,44.923180781493215,0.0166746117174625,5.645346641540527,35,1.7516303351805738,0.6620794534683228,6,7.637172066392947e-05,1.903463755705057e-14,8.061643600463867,18.615720748901367,3.5720696449279785,0.8426496982574463,1.8329473733901973,0.2484822869300842,-0.6640353286555047,3.827497596617997,0.0
PolyX_E_n70,PolyX,E,70,PolyX,1000,210,70,4.461720379296977,0.279444128070791,2.195348086642068,20,0.7874607417135481,2.882895576206261,73.89573387329489,1.0,1.0617300527934708,47422008604.79474,280.9153308832443,0.1950902789831161,6.808035850524902,157,0.8432501054495016,0.6384797096252441,6,1.4534316217041416e-05,2.5118354868025524e-14,7.620139122009277,25.663530349731445,4.788673400878906,0.8599143624305725,5.134903907775879,0.561378002166748,-4.725194241374014,86.64044377090363,0.0,1000,210,70,4.465369059561733,0.2818332135669854,2.192135075231304,20,0.7903357400186241,2.8870044879133148,74.37824424758722,1.0,1.074677156332123,48135563644.73682,289.1545970346383,0.192811831831932,6.776367664337158,157,0.8460963512574596,0.6425403952598572,6,1.4647022109002568e-05,2.3505218448486725e-14,7.581099987030029,25.637590408325195,4.878232002258301,0.8632188439369202,5.136303424835205,0.5624381303787231,5.045312708575002,96.30009610558376,0.0
DMS_SPIKE_WT,DMS_WT,protein,0,PolyX,500,669,223,34.929018524514866,0.0159416575239205,4.012169450582093,69,0.2794290830005916,3.1760738496186334,429.7787877959644,1.0,1.152986771349981,1699995682653.994,1762764.8922363238,0.0776500105857849,40.68500518798828,258,1.2742804585434275,0.258311778306961,170,0.0,0.0,29.383285522460938,63.74896240234375,4.82449197769165,1.35876202583313,2.309161901473999,0.2777956426143646,-0.0200289757637909,-0.2253328249339592,0.0,500,669,223,32.9451116422746,0.0158642875720667,3.9711835753747895,67,0.2915786101734351,3.510199293541417,456.8274026851374,0.9999999999999998,1.0293148342305434,1699994992722.2178,3005186.5765472115,0.0728270038962364,38.01820755004883,235,1.288313237680876,0.2708881199359894,170,0.0,0.0,30.46714973449707,60.9622802734375,5.092764377593994,1.4035699367523191,2.2206690311431885,0.2728504240512848,-0.2206035393288468,-0.0334784567250432,0.0
DMS_GFP_WT,DMS_WT,protein,0,PolyX,500,714,238,35.02785563749193,0.0105606437978973,3.985482070246924,66,0.2647219613834143,3.4157218821779693,406.1059455939616,1.0,1.1381524342714475,2149994793303.354,1724053.997447051,0.0777703449130058,40.83255386352539,271,1.2468033821119957,0.2446790486574173,215,0.0,0.0,27.79686164855957,42.56536865234375,3.888517379760742,1.2578566074371338,2.2818543910980225,0.347435861825943,0.0336736350345832,-0.4394842119874966,0.0,500,714,238,33.87678737428886,0.0163148238100271,3.959795627074013,65,0.2689894981775811,3.371481574725077,424.3774864118347,1.0000000000000002,1.181227527228649,2149994891692.3523,2598088.3218161105,0.0748223587870597,39.26432037353516,256,1.2543661536140855,0.2493870109319687,215,0.0,0.0,28.392061233520508,43.9398307800293,3.872941255569458,1.2910946607589722,2.324652671813965,0.3355698585510254,-0.2209183574472566,-0.2710670360568306,0.0
PolyX_G_n100,PolyX,G,100,PolyX,1000,300,100,21.73719025145916,0.0555307506618398,3.646002261563639,56,0.3881297876405227,2.7896881576525354,148.7200392072129,0.9999999999999996,1.2195202688820703,48222417772.19153,25951.828887499505,0.0391758233308792,23.4048080444336,81,1.6152885363227028,0.3735773861408233,6,6.846977067647911e-05,7.914040423880768e-15,16.000762939453125,28.66327857971192,2.59346342086792,1.2024043798446655,1.9419984817504885,0.1998423635959625,-0.5925890595639965,13.786258887151227,0.0,1000,300,100,20.7920710070973,0.0442561818321542,3.594855155690936,54,0.4084901069073568,2.811955726249211,158.922069395094,1.0000000000000002,1.1978751429877217,48255818513.30454,47265.35520652942,0.0381621494889259,22.34935188293457,78,1.6170434304439292,0.393537312746048,6,6.523912712483765e-05,3.2688966214330216e-15,16.57405662536621,29.583833694458008,2.835090398788452,1.2354388236999512,2.128792524337769,0.2476334571838379,-1.2825181486467827,9.808958697488524,0.0
PolyX_G_n55,PolyX,G,55,PolyX,1000,165,55,7.415019974286642,0.2193582341666839,2.7614838873469463,30,0.6522083199089063,3.143831823395169,84.01737444531685,1.0,2.172902583310738,50797900911.941376,1950.085587081096,0.0153513392433524,7.637248039245605,34,1.8818189640474965,0.6426612734794617,6,6.086173824509205e-05,5.105018393084484e-15,12.942337036132812,32.72709655761719,4.629297256469727,1.2165579795837402,1.8642808198928835,0.2145876288414001,0.5076816088221581,1.9565295625500871,0.0,1000,165,55,6.968397803884733,0.2015781162328959,2.661801088060544,28,0.6966322792698996,3.1618292094452736,95.68743968849424,1.0,2.202599144997285,50691121352.16752,3143.835628954822,0.0137016968801617,7.154898643493652,32,1.900836592414033,0.6875025033950806,6,5.189979404911288e-05,4.725465667580878e-15,13.790934562683104,34.33161926269531,4.919175624847412,1.283647060394287,2.194131374359131,0.3004700243473053,0.7388396417931364,1.6203133823866935,0.0
